PLAYER_NAME,OPPONENT,H2H_GAMES_BEFORE,PTS_H2H_5,REB_H2H_5,AST_H2H_5
A.J. Lawson,ATL,1,0.0,1.0,0.0
A.J. Lawson,BKN,3,8.333333333333334,1.3333333333333333,0.0
A.J. Lawson,BOS,5,2.6,1.6,0.0
A.J. Lawson,CHA,3,6.0,2.3333333333333335,2.3333333333333335
A.J. Lawson,CHI,4,7.0,3.25,0.5
A.J. Lawson,DAL,1,12.0,10.0,2.0
A.J. Lawson,DEN,2,8.0,2.0,0.0
A.J. Lawson,DET,4,6.5,3.0,0.75
A.J. Lawson,GSW,5,2.2,1.4,0.2
A.J. Lawson,HOU,3,2.6666666666666665,1.0,0.3333333333333333
A.J. Lawson,IND,3,2.3333333333333335,2.3333333333333335,0.0
A.J. Lawson,LAC,3,0.0,1.3333333333333333,0.6666666666666666
A.J. Lawson,LAL,3,2.3333333333333335,0.3333333333333333,0.0
A.J. Lawson,MEM,5,4.4,1.8,0.2
A.J. Lawson,MIA,4,1.25,1.0,0.25
A.J. Lawson,MIN,2,2.5,1.0,0.5
A.J. Lawson,NOP,4,1.5,1.0,0.25
A.J. Lawson,NYK,5,2.0,1.2,0.2
A.J. Lawson,OKC,4,7.25,1.75,1.0
A.J. Lawson,ORL,5,6.2,1.0,0.6
A.J. Lawson,PHI,5,10.0,2.4,1.0
A.J. Lawson,PHX,4,3.75,1.5,0.25
A.J. Lawson,POR,8,7.8,3.2,2.4
A.J. Lawson,SAC,4,2.5,0.75,0.5
A.J. Lawson,SAS,4,10.25,3.5,1.0
A.J. Lawson,TOR,1,2.0,1.0,0.0
A.J. Lawson,UTA,7,6.0,1.8,0.2
A.J. Lawson,WAS,5,9.8,3.6,0.8
AJ Green,ATL,11,8.8,2.0,0.6
AJ Green,BKN,9,16.8,4.2,2.4
AJ Green,BOS,9,7.2,2.4,1.2
AJ Green,CHA,13,8.2,1.6,2.0
AJ Green,CHI,12,9.4,2.8,2.2
AJ Green,CLE,12,11.0,2.6,1.8
AJ Green,DAL,7,11.8,2.8,1.4
AJ Green,DEN,4,11.0,2.75,3.0
AJ Green,DET,9,12.4,3.4,1.6
AJ Green,GSW,6,5.8,1.8,0.6
AJ Green,HOU,7,7.0,3.8,1.8
AJ Green,IND,13,9.8,1.8,2.4
AJ Green,LAC,5,9.0,1.8,2.0
AJ Green,LAL,5,7.0,2.0,1.2
AJ Green,MEM,8,9.8,2.0,1.0
AJ Green,MIA,12,7.6,2.8,3.6
AJ Green,MIN,6,11.6,2.0,1.8
AJ Green,NOP,6,5.8,2.2,2.0
AJ Green,NYK,10,9.6,3.0,0.4
AJ Green,OKC,4,10.5,2.0,2.0
AJ Green,ORL,11,5.4,3.0,1.4
AJ Green,PHI,9,9.6,3.0,1.2
