OPPONENT,OPP_ALLOWED_PTS_10,OPP_ALLOWED_REB_10,OPP_ALLOWED_AST_10
ATL,113.6,43.4,26.7
BKN,117.1,46.0,28.4
BOS,108.4,37.9,24.9
CHA,107.1,38.2,23.3
CHI,126.8,48.8,30.6
CLE,119.0,40.1,27.8
DAL,124.3,48.7,28.7
DEN,120.7,42.9,28.4
DET,108.1,36.9,23.4
GSW,117.3,40.4,28.7
HOU,108.4,38.0,23.2
IND,119.7,45.5,25.7
LAC,111.8,44.7,25.7
LAL,112.2,40.2,26.4
MEM,132.0,52.9,32.5
MIA,126.2,43.1,30.3
MIL,118.7,41.8,28.0
MIN,115.5,47.9,26.8
NOP,126.3,47.1,32.0
NYK,108.3,37.8,26.5
OKC,110.8,43.5,25.7
ORL,117.5,41.5,26.8
PHI,114.8,47.5,26.1
PHX,112.1,43.3,28.0
POR,105.2,38.8,23.4
SAC,121.0,39.9,29.0
SAS,110.6,41.0,25.6
TOR,107.6,39.6,24.3
UTA,132.8,50.4,31.9
WAS,131.8,46.1,32.2
